,city,status,type,avg,day,max,min,air_quality_index,data_collection_time,data_collection_date
0,abudhabi,unhealthy for sensitive groups,uvi,0,2021-08-25,1,0,96.0,12:34:05,26-08-21
1,abudhabi,unhealthy for sensitive groups,uvi,1,2021-08-26,9,0,96.0,12:34:05,26-08-21
2,abudhabi,unhealthy for sensitive groups,uvi,2,2021-08-27,9,0,96.0,12:34:05,26-08-21
3,abudhabi,unhealthy for sensitive groups,uvi,2,2021-08-28,9,0,96.0,12:34:05,26-08-21
4,abudhabi,unhealthy for sensitive groups,uvi,2,2021-08-29,10,0,96.0,12:34:05,26-08-21
5,abudhabi,unhealthy for sensitive groups,uvi,3,2021-08-30,10,0,96.0,12:34:05,26-08-21
6,abudhabi,unhealthy for sensitive groups,o3,19,2021-08-24,37,2,96.0,12:34:05,26-08-21
7,abudhabi,unhealthy for sensitive groups,o3,20,2021-08-25,29,8,96.0,12:34:05,26-08-21
8,abudhabi,unhealthy for sensitive groups,o3,21,2021-08-26,36,16,96.0,12:34:05,26-08-21
9,abudhabi,unhealthy for sensitive groups,o3,30,2021-08-27,81,21,96.0,12:34:05,26-08-21
10,abudhabi,unhealthy for sensitive groups,o3,18,2021-08-28,67,8,96.0,12:34:05,26-08-21
11,abudhabi,unhealthy for sensitive groups,o3,22,2021-08-29,39,4,96.0,12:34:05,26-08-21
12,abudhabi,unhealthy for sensitive groups,o3,21,2021-08-30,37,5,96.0,12:34:05,26-08-21
13,abudhabi,unhealthy for sensitive groups,o3,29,2021-08-31,29,5,96.0,12:34:05,26-08-21
14,abudhabi,unhealthy for sensitive groups,pm10,273,2021-08-24,500,111,96.0,12:34:05,26-08-21
15,abudhabi,unhealthy for sensitive groups,pm10,182,2021-08-25,328,96,96.0,12:34:05,26-08-21
16,abudhabi,unhealthy for sensitive groups,pm10,105,2021-08-26,156,72,96.0,12:34:05,26-08-21
17,abudhabi,unhealthy for sensitive groups,pm10,98,2021-08-27,138,77,96.0,12:34:05,26-08-21
18,abudhabi,unhealthy for sensitive groups,pm10,95,2021-08-28,124,74,96.0,12:34:05,26-08-21
19,abudhabi,unhealthy for sensitive groups,pm10,267,2021-08-29,500,90,96.0,12:34:05,26-08-21
20,abudhabi,unhealthy for sensitive groups,pm10,164,2021-08-30,197,162,96.0,12:34:05,26-08-21
21,abudhabi,unhealthy for sensitive groups,pm25,173,2021-08-24,189,157,96.0,12:34:05,26-08-21
22,abudhabi,unhealthy for sensitive groups,pm25,161,2021-08-25,176,114,96.0,12:34:05,26-08-21
23,abudhabi,unhealthy for sensitive groups,pm25,149,2021-08-26,167,128,96.0,12:34:05,26-08-21
24,abudhabi,unhealthy for sensitive groups,pm25,167,2021-08-27,201,145,96.0,12:34:05,26-08-21
25,abudhabi,unhealthy for sensitive groups,pm25,140,2021-08-28,172,111,96.0,12:34:05,26-08-21
26,abudhabi,unhealthy for sensitive groups,pm25,169,2021-08-29,203,121,96.0,12:34:05,26-08-21
27,abudhabi,unhealthy for sensitive groups,pm25,201,2021-08-30,257,159,96.0,12:34:05,26-08-21
28,abudhabi,unhealthy for sensitive groups,pm25,179,2021-08-31,179,158,96.0,12:34:05,26-08-21
29,bangkok,unhealthy for sensitive groups,uvi,2,2021-08-24,11,0,64.0,12:34:05,26-08-21
30,bangkok,unhealthy for sensitive groups,uvi,2,2021-08-25,11,0,64.0,12:34:05,26-08-21
31,bangkok,unhealthy for sensitive groups,uvi,2,2021-08-26,8,0,64.0,12:34:05,26-08-21
32,bangkok,unhealthy for sensitive groups,uvi,1,2021-08-27,8,0,64.0,12:34:05,26-08-21
33,bangkok,unhealthy for sensitive groups,uvi,1,2021-08-28,7,0,64.0,12:34:05,26-08-21
34,bangkok,unhealthy for sensitive groups,uvi,1,2021-08-29,6,0,64.0,12:34:05,26-08-21
35,bangkok,unhealthy for sensitive groups,uvi,2,2021-08-30,6,0,64.0,12:34:05,26-08-21
36,bangkok,unhealthy for sensitive groups,o3,1,2021-08-24,13,1,64.0,12:34:05,26-08-21
37,bangkok,unhealthy for sensitive groups,o3,1,2021-08-25,2,1,64.0,12:34:05,26-08-21
38,bangkok,unhealthy for sensitive groups,o3,1,2021-08-26,2,1,64.0,12:34:05,26-08-21
39,bangkok,unhealthy for sensitive groups,o3,1,2021-08-27,1,1,64.0,12:34:05,26-08-21
40,bangkok,unhealthy for sensitive groups,o3,1,2021-08-28,2,1,64.0,12:34:05,26-08-21
41,bangkok,unhealthy for sensitive groups,o3,1,2021-08-29,12,1,64.0,12:34:05,26-08-21
42,bangkok,unhealthy for sensitive groups,o3,1,2021-08-30,1,1,64.0,12:34:05,26-08-21
43,bangkok,unhealthy for sensitive groups,o3,1,2021-08-31,1,1,64.0,12:34:05,26-08-21
44,bangkok,unhealthy for sensitive groups,pm10,21,2021-08-24,27,10,64.0,12:34:05,26-08-21
45,bangkok,unhealthy for sensitive groups,pm10,21,2021-08-25,22,18,64.0,12:34:05,26-08-21
46,bangkok,unhealthy for sensitive groups,pm10,21,2021-08-26,28,14,64.0,12:34:05,26-08-21
47,bangkok,unhealthy for sensitive groups,pm10,28,2021-08-27,44,19,64.0,12:34:05,26-08-21
48,bangkok,unhealthy for sensitive groups,pm10,29,2021-08-28,44,19,64.0,12:34:05,26-08-21
49,bangkok,unhealthy for sensitive groups,pm10,30,2021-08-29,44,19,64.0,12:34:05,26-08-21
