,title,Running time (int),Budget (float),Box office (float),Japanese,Traditional,Simplified
0,Academy Award Review of,41.0,,45.472,,,
1,Snow White and the Seven Dwarfs,83.0,1490000.0,418000000.0,,,
2,Pinocchio,88.0,2600000.0,164000000.0,,,
3,Fantasia,126.0,2280000.0,83300000.0,,,
4,The Reluctant Dragon,74.0,600000.0,960000.0,,,
5,Dumbo,64.0,950000.0,1300000.0,,,
6,Bambi,70.0,858000.0,267400000.0,,,
7,Saludos Amigos,42.0,,1135000.0,,,
8,Victory Through Air Power,70.0,788000.0,799000.0,,,
9,The Three Caballeros,71.0,,3355000.0,,,
10,Make Mine Music,75.0,1350000.0,3275000.0,,,
11,Song of the South,94.0,2125000.0,65000000.0,,,
12,Fun and Fancy Free,73.0,,3165000.0,,,
13,Melody Time,75.0,1500000.0,2560000.0,,,
14,So Dear to My Heart,82.0,1500000.0,3700000.0,,,
15,The Adventures of Ichabod and Mr. Toad,68.0,,1625000.0,,,
16,Cinderella,74.0,2200000.0,263600000.00000003,,,
17,Treasure Island,96.0,1800000.0,4100000.0,,,
18,Alice in Wonderland,75.0,3000000.0,2400000.0,,,
19,The Story of Robin Hood,84.0,,2100000.0,,,
20,Peter Pan,77.0,4000000.0,87400000.0,,,
21,The Sword and the Rose,92.0,2000000.0,1000000.0,,,
22,The Living Desert,69.0,300000.0,2600000.0,,,
23,Rob Roy: The Highland Rogue,81.0,1800000.0,,,,
24,The Vanishing Prairie,60.0,,1750000.0,,,
25,"20,000 Leagues Under the Sea",127.0,5000000.0,28200000.0,,,
26,Davy Crockett: King of the Wild Frontier,92.0,,2150000.0,,,
27,Lady and the Tramp,76.0,4000000.0,187000000.0,,,
28,The African Lion,75.0,,2100000.0,,,
29,The Littlest Outlaw,73.0,,1600000.0,,,
30,The Great Locomotive Chase,85.0,,1700000.0,,,
31,Davy Crockett and the River Pirates,81.0,,,,,
32,Secrets of Life,70.0,,,,,
33,Westward Ho the Wagons!,90.0,,2750000.0,,,
34,Johnny Tremain,80.0,700000.0,,,,
35,Perri,75.0,,1750000.0,,,
